check,titulo,severidade,caixa,confianca,linha,registro,referencia,detalhe,valor,base
C04,VL != base x aliquota (erro aritmetico),ALTA,RISCO,NUCLEO,21,C170,NF 140 / item PROD001,"PIS: 100.00 x 1.65% = 1.65, escriturado -1.65",3.30,Conferencia aritmetica do proprio registro
C07,CFOP incompativel com o sentido da operacao,ALTA,RISCO,NUCLEO,15,C170,NF 123,saida com CFOP de entrada: 1102,0.00,CFOP 1/2/3 = entrada; 5/6/7 = saida
E03,9999 declara total de linhas diferente do arquivo,ALTA,ESTRUTURA,NUCLEO,45,9999,arquivo,"declarado 1, arquivo tem 45",44.00,Guia Pratico - registro 9999
E12,Documento cancelado/substituido com valor de PIS/COFINS no item,ALTA,ESTRUTURA,NUCLEO,19,C170,NF 130 (COD_SIT=02),VL_PIS=3.30 VL_COFINS=15.20 em documento sem efeito fiscal,18.50,COD_SIT 02/03/04/05 (cancelado/substituido) nao produz efeito fiscal; nao deveria gerar debito/credito de PIS/COFINS
E13,Chave de NF-e escriturada em mais de um C100,ALTA,ESTRUTURA,NUCLEO,13,C100,3524011122...,"chave repetida 2x: L13, L16",148.00,A chave de acesso e unica por NF-e; repeticao indica debito/credito em duplicidade
R01,0111 nao reflete a receita do detalhe,ALTA,RISCO,NUCLEO,3,0111,tributada,"declarado 0.00 x detalhe 1,900.00",1900.00,0111 e a base do rateio de credito e do ressarcimento
C03,CST tributado sem contribuicao apurada,MEDIA,OPORTUNIDADE,NUCLEO,21,C170,NF 140 / item PROD001,CST_PIS=01 com VL_PIS=0 sobre item 100.00,0.00,CST 01/02 exigem base e valor
E11,Item cadastrado no 0200 sem NCM,MEDIA,ESTRUTURA,NUCLEO,8,0200,PROD002,sem NCM: PRODUTO B,0.00,Guia Pratico - registro 0200 campo COD_NCM
E14,Documento duplicado (mesmo participante + modelo + serie + numero),MEDIA,ESTRUTURA,NUCLEO,13,C100,NF 123,"documento repetido 2x: L13, L16",0.00,COD_PART/COD_MOD/SER/NUM_DOC deveria identificar um unico documento no periodo
E15,Valor numerico negativo em campo do leiaute SPED que nao admite sinal,MEDIA,ESTRUTURA,NUCLEO,20,C100,VL_PIS,"VL_PIS=-1,65",0.00,"Campos VL_/QTD_/ALIQ_/QUANT_ do SPED sao sempre positivos; ajuste de sentido e feito pela natureza do lancamento, nao por sinal negativo"
E15,Valor numerico negativo em campo do leiaute SPED que nao admite sinal,MEDIA,ESTRUTURA,NUCLEO,21,C170,VL_PIS,"VL_PIS=-1,65",0.00,"Campos VL_/QTD_/ALIQ_/QUANT_ do SPED sao sempre positivos; ajuste de sentido e feito pela natureza do lancamento, nao por sinal negativo"
E16,Data de emissao posterior a data de entrada/saida do mesmo documento,MEDIA,ESTRUTURA,NUCLEO,20,C100,140,DT_DOC=20012024 posterior a DT_E_S=15012024,0.00,DT_DOC nao pode ser posterior a DT_E_S/DT_A_P/DT_EXE_SERV
R07,0111: soma das receitas por natureza diverge do total declarado,MEDIA,ESTRUTURA,NUCLEO,3,0111,totais,soma das partes 0.00 x REC_BRU_TOTAL declarado 500.00,500.00,0111.REC_BRU_TOTAL deve ser a soma dos demais campos do proprio registro
R08,M200/M600: identidades de consolidacao do periodo nao fecham,MEDIA,RISCO,NUCLEO,23,M200,PIS nao-cumulativo (devido),"campo05 calcula 100.00, declarado 0.00",100.00,"Guia Pratico v1.35, registros M200/M600: campo 05 (contrib. devida) = campo 02 - campo 03 - campo 04; campo 08 (contrib. a recolher NC) = campo 05 - campo 06 - campo 07; campo 13 (total a recolher) = campo 08 + campo 12."
R08,M200/M600: identidades de consolidacao do periodo nao fecham,MEDIA,RISCO,NUCLEO,24,M600,COFINS nao-cumulativo (devido),"campo05 calcula 100.00, declarado 0.00",100.00,"Guia Pratico v1.35, registros M200/M600: campo 05 (contrib. devida) = campo 02 - campo 03 - campo 04; campo 08 (contrib. a recolher NC) = campo 05 - campo 06 - campo 07; campo 13 (total a recolher) = campo 08 + campo 12."
E20,COD_NAT usado no C170 sem cadastro correspondente no 0400,BAIXA,ESTRUTURA,NUCLEO,14,C170,02,COD_NAT sem 0400 correspondente,0.00,Guia Pratico v1.35 - registro 0400 (natureza da receita/rubrica)
E21,COD_CTA usado sem cadastro correspondente no 0500,BAIXA,ESTRUTURA,NUCLEO,14,C170,999999999,COD_CTA sem 0500 correspondente,0.00,Guia Pratico v1.35 - registro 0500 (plano de contas)
